Sr.No	PIC	Name of Dam	Operated & Maintained by	Latitude	Longitude	Year of Completion	River Basin	River	Neareast City	Seismic Zone	Dam Type	Height above Lowest Foundation Level	Dam Length	Volume Content of Dam	Gross Storage Capacity	Reservoir Area	Effective Storage Capacity	Purpose	Designed Spillway Capacity
53	KA06HH0055	Linganamakki Dam	Karnataka Water Resources Department	14.17555556	74.84638889	1964	West Flowing Rivers from Tadri to Kanyakumari	Sharavathi.	sagar	III	Composite_Masonry_and_Earth_fill	61.26	2749.29	4080000	4435350000	317280000	4293940000	H	6834
165	KA06VH0168	Supa Dam	Karnataka Water Resources Department	15.27611111	74.52666667	1987	West Flowing Rivers from Tapi to Tadri	Kali Nadi	supa dandeli	II	Other	101	331.29	1020000	4178000000	129000000	4115000000	H	2825
34	KA06HH0036	Tungabhadra Dam	Karnataka Water Resources Department	15.25527778	76.33333333	1953	Krishna	Tungabhadra	Hospet	II	Earthfill_Embankment	49.39	2449	1164000	3737823750	378100000	3308540356	I/H/S/D/T/F	18405.93294
197	KA06HH0200	Almatti Dam	Karnataka Water Resources Department	16.33111111	75.88694444	2000	Krishna	Krishna	Basavana Bagevadi	II	Composite_Other	49.29	1564.83	1349990	3485237478	487870000	2985445136	I/H	31007
56	KA06HH0058	Bhadra Dam	Karnataka Water Resources Department	13.70083333	75.63611111	1965	Krishna	Bhadra	Tarikere	II	Composite_Masonry_and_Rock_fill	76.81	1708	2525000000	2025870000	112508800	1785000000	I/H/S	3020
105	KA06HH0107	Hidkal Dam	Karnataka Water Resources Department	16.14111111	74.64	1977	Krishna	Ghataprabha	hukeri	III	Composite_Other	62.4800356006	4480.55985662	1.258824229E+12	1448690000	63380000	1321830000	I/H/S	4616
18	KA06HH0020	K.R.Sagara Dam	Karnataka Water Resources Department	12.425	76.57083333	1931	Cauvery	Cauvery	Pandava pura	II	Masonry_Gravity	42.62	2621	849000	1400000000	10619000	1275690000	I	9793.891
115	KA06HH0117	Hemavathy Dam	Karnataka Water Resources Department	12.82222222	76.05277778	1979	Cauvery	Hemavathy	Hassan	II	Earthfill_Embankment	58.5	4692	5782500	1050630000	22640000	1012610000	I/H/S/D/T/F/O	3624.56
171	KA06HH0174	Mani	Karnataka Water Resources Department	13.67583333	75.04555556	1988	West Flowing Rivers from Tadri to Kanyakumari	Varahi	horanagara	III	Other	59	580	1000000	961750000	56000000	883810000	H	2825
87	KA06HH0089	Malaprabha Dam	Karnataka Water Resources Department	15.82111111	75.09611111	1972	Krishna	Malaprabha	parasgad	II	Masonry_Gravity	43.13	154.53	182000	1068000000	135780000	830250000	I/H/N/S/D/T/C/F/O	5236
13	KA06HH0015	Vanivilasa Sagar Dam	Karnataka Water Resources Department	13.88805556	76.48833333	1907	Krishna	Vedavathy	Hiriyur	II	Masonry_Gravity	49.37	405.4	47800000	850300000	87630000	802500000	I/S/T/F	991
140	KA06MH0142	Narayanapura Dam	Karnataka Water Resources Department	16.22388889	76.34472222	1982	Krishna	Krishna	muddevihal	II	Composite_Other	29.72	10637.52	18270000	943281000	134500000	740000000	I/H	37945
180	KA06MH0183	Upper Hirenala Tank	Karnataka Water Resources Department	15.72888889	76.315	1989	Krishna	Hirehalla	Kushtagi	II	Earthfill_Embankment	18.27	1935	6538	653800000	1370000	565800000	I	657.13
146	KA06MH0148	Hulikere Tank	Karnataka Water Resources Department	15.4875	74.74305556	1984	West Flowing Rivers from Tapi to Tadri	Hulikere Nala	Dharwad	II	Earthfill_Embankment	21.75	637	3643000	551650000	1300000	501500000	I	177.00
96	KA06HH0098	Kabini Dam	Karnataka Water Resources Department	11.97388889	76.35166667	1974	Cauvery	Kabini	heggodade vankote	II	Composite_Concrete_and_Earth_fill	59.435	2732.53	952080	552740000	64030000	453065000	I/H	5498
139	KA06MH0141	Kanvikervinkoppa Tank	Karnataka Water Resources Department	15.76472222	74.58361111	1982	Krishna	Local Nala Malaprabha Sub Basin	Belgaum	II	Earthfill_Embankment	16.76	454	166420	491510000	207100	420000000	I	29.72
138	KA06LH0140	Jigajinagi Tank	Karnataka Water Resources Department	17.15527778	75.66638889	1982	Krishna	Jigajinagi	indi	III	Other	11.93	1420	85110	404330000	1660000	376600000	I	221.08
136	KA06LH0138	Chikkalingadalli	Karnataka Water Resources Department	17.44111111	77.48194444	1982	Krishna	Local Mullamari K-6	Chincholi	II	Earthfill_Embankment	14.48	701.04	425000	425516000	650000	357037000	I	63.47
189	KA06LH0192	Hiresangagutti	Karnataka Water Resources Department	15.98916667	76.19638889	1993	Krishna	Hiresangagutti	hungund	II	Other	11.45	260	20180	380190000	324000	312440000	I	156.48
123	KA06HH0125	Tattihalla Dam	Karnataka Water Resources Department	15.11694444	74.785	1979	West Flowing Rivers from Tapi to Tadri	Kali Nadi	yellapur	II	Other	44	1337.04	836000	264030000	27000000	249260000	H	4960
191	KA06VH0194	Lakhya Dam	Karnataka Water Resources Department	13.21722222	75.22444444	1994	Krishna	LAKHYA HOLE	mudigere	III	Earthfill_Embankment	108	1048	11000000	273790000	6050000	245000000	S	33
137	KA06HH0139	Harangi Dam	Karnataka Water Resources Department	12.49388889	75.905	1982	Cauvery	Harangi	Somavarapet	II	Composite_Masonry_and_Earth_fill	53	845.82	516630	240690000	4715000	228600000	I/H	3403.00
182	KA06LH0185	Kadlewadi Tank	Karnataka Water Resources Department	16.91888889	76.03888889	1990	Krishna	Kadlewadi	sindgi	II	Other	11.52	1080	65060	245310000	785000	215700000	I	198.36
195	KA06HH0198	Kadra Dam	Karnataka Water Resources Department	14.89777778	74.355	1997	West Flowing Rivers from Tapi to Tadri	Kali Nadi	Karwar	III	Other	40.5	2313	4207000	388920000	34330000	209060000	H	8299
135	KA06HH0137	Narihalla Dam	Karnataka Water Resources Department	15.12388889	76.60472222	1981	Krishna	Narihalla	Sandur	II	Other	32.92	295	512630	229360000	2490000	208700000	I	1238
178	KA06MH0181	Karanja Dam	Karnataka Water Resources Department	17.88777778	77.31309444	1989	Godavari	Karanja	bhalki	II	Earthfill_Embankment	28.1	3480	1449410	217660000	56730000	207050000	I/S	7080
224	KA06LH0229	Bheemasamudra Dam	Karnataka Water Resources Department	14.18138889	76.24805556		Krishna	Jinigi halla	Chitradurga	II	Earthfill_Embankment	14.2	840	5126000	256230000	118110000	204980000	I	200.28
199	KA06HH0202	Kodasalli	Karnataka Water Resources Department	14.91944444	74.53555556	2000	West Flowing Rivers from Tapi to Tadri	Kali Nadi	supa	II	Other	52.1	534	574000	286490000	17140000	178820000	H	7460
147	KA06MH0149	Muchakhandi	Karnataka Water Resources Department	16.14222222	75.66527778	1984	Krishna	Muchakhandi	Bagalkot	II	Other	18.3	158	11560	189110000	3646000	164350000	I	538.00
227	KA06MH0232	Hipparagi Barrage	Karnataka Water Resources Department	16.5525	75.16583333	2004	Krishna	Krishna	hipparagi	II	Earthfill_Embankment	26	5783	31160000	169901080	29980000	147247602	I/S	19810
201	KA06HH0204	Bennithora Dam	Karnataka Water Resources Department	17.44611111	77.02	2001	Krishna	Bennithora	chilapur	II	Composite_Concrete_and_Earth_fill	31.39	2270	748700000	149980000	24730000	140700000	I	8801
39	KA06HH0041	Nugu Dam	Karnataka Water Resources Department	11.97638889	76.44472222	1959	Cauvery	Nugu	H.D.Kote	II	Other	43.58	637.65	342960	154042000	2676000	138554330	I/H	566
153	KA06HH0155	Chakra Dam	Karnataka Water Resources Department	13.81944444	74.95444444	1985	West Flowing Rivers from Tadri to Kanyakumari	Chakra	hosanagara	III	Rock_fill_Embankment	84	570	2265000	222600000	11500000	133000000	H	440
158	KA06LH0161	Dasanahalli Tank	Karnataka Water Resources Department	14.84194444	75.7775	1986	Krishna	Krishna T.Bhadra	huvvinahada galli	II	Earthfill_Embankment	11.83	780	14196000	124300000	1200000	112000000	I	123.4
145	KA06LH0147	Talakal Tank	Karnataka Water Resources Department	14.93333333	76.04694444	1983	Krishna	Krishna	huvvinahada galli	II	Earthfill_Embankment	14.02	1200	5473000	114900000	650000	98000000	I	68.00
203	KA06MH0206	Yagachi Dam	Karnataka Water Resources Department	13.18083333	75.86861111	2001	Cauvery	Yagachi	Belur Town	II	Other	26.24	1280	945660	102000000	19618190	91720000	I/S	2020
150	KA06HH0152	Taraka Dam	Karnataka Water Resources Department	12.03861111	76.25888889	1984	Cauvery	Taraka	H.D.Kote	II	Other	37.49	1272.5	640810	111567000	2700000	90754000	I	1132.60
228	KA06HH0233	Markandeya Dam	Karnataka Water Resources Department	16.01861111	74.64416667	2005	Krishna	Markandeya	hukeri	III	Other	47	475	414000	104660000	8980000	90190000	I	3728
111	KA06HH0113	Bommanahalli Pickup	Karnataka Water Resources Department	15.16333333	74.69805556	1979	West Flowing Rivers from Tapi to Tadri	Kal river	haliyal	II	Other	30.45	1024.8	514000	97254000	15530000	84851000	H	8822
22	KA06MH0024	Maralvadi Dam	Karnataka Water Resources Department	12.56277778	77.45666667	1938	Cauvery	Arkavathy	Kanakapura	II	Earthfill_Embankment	16.5	480	162900	74040000	690000	67350000	I	453.06
128	KA06HH0130	Savehakalu Dam	Karnataka Water Resources Department	13.78444444	74.97055556	1980	West Flowing Rivers from Tadri to Kanyakumari	Savehaklu	Shimoga	III	Earthfill_Embankment	53	633	1578000	124970000	9400000	66970000	H	500
225	KA06MH0230	Bhima Lift Dam	Karnataka Water Resources Department	17.17166667	76.31194444	2010	Krishna	Bhima	sonna	III	Other	18.4	2250	276250	70707166	20548309.4231	66686174.000099	I	25488
25	KA06MH0027	Marconahally	Karnataka Water Resources Department	12.93333333	76.88027778	1940	Cauvery	Shimsha Valley	Kunigal	II	Other	22.25	1812	1180000	68000000	13380000	64000000	I	1700
198	KA06HH0201	Gerusoppa Dam	Karnataka Water Resources Department	14.25083333	74.67638889	2000	West Flowing Rivers from Tadri to Kanyakumari	Sharavathi.	Honnavar	III	Other	62	421	664000	131461000	5980000	58210000	H	6245
208	KA06MH0211	Upper Tunga Dam	Karnataka Water Resources Department	13.84138889	75.52666667	2005	Krishna	tunga	Shimoga	II	Earthfill_Embankment	17.5	791.39	357278000	91859763.781088	16317500	50205721.696631	I/H/S	7362.3
204	KA06MH0207	Gandorinala Dam	Karnataka Water Resources Department	17.56	76.91972222	2002	Krishna	Gandorinala	Gulbarga	II	Other	24.27	1813.5	1488900	53450000	6640000	49450000	I	2223
24	KA06LH0026	Ballasamudra Tank	Karnataka Water Resources Department	13.6875	76.27833333	1940	Krishna	Toddahalla	Hosadurga	II	Earthfill_Embankment	12	785	125000	50900000	2000000	47500000	I	421.74
202	KA06MH0205	Lower Mullamari Dam	Karnataka Water Resources Department	17.53805556	77.26694444	2001	Krishna	Mullamari	Chincholi	II	Earthfill_Embankment	24.46	1546	296390	49271313	8440000	43324775	I	3189
207	KA06MH0210	Arkavathy Dam	Karnataka Water Resources Department	12.42361111	77.44083333	2004	Cauvery	Arkavathy	Kanakapura	II	Other	29.69	720	419820	44940000	6650000	40493000	I	5946.54
196	KA06HH0199	Amarja Dam	Karnataka Water Resources Department	17.48527778	76.55138889	1998	Krishna	Amarja	aland	II	Composite_Concrete_and_Earth_fill	31.85	960	873000	44010000	6410000	40070000	I	2832
181	KA06HH0184	Varahi H.E.Pickup	Karnataka Water Resources Department	13.695	74.99805556	1989	West Flowing Rivers from Tadri to Kanyakumari	Varahi	kundapura	III	Other	39.6	244	90280	82350000	699000000	39872000	H	6205
21	KA06MH0023	Anjanapura Tank	Karnataka Water Resources Department	14.15361111	75.38333333	1936	Krishna	Kumudavathy	Shikaripur	II	Earthfill_Embankment	21.33	1600	0	39770000	1134000	39770000	I	1105
152	KA06HH0154	Votehole Dam	Karnataka Water Resources Department	13.05835833	75.91058611	1984	Cauvery	Votehole	Belur Town	II	Composite_Concrete_and_Earth_fill	44.48	900	656000	42758000	1468000	38680000	I	577.33
205	KA06MH0208	Hirehalla Dam	Karnataka Water Resources Department	15.4475	76.11333333	2002	Krishna	Hirehalla and Veerapurhalla	Koppal	II	Other	17.62	3606.6	2340000	47289134	12470000	37095069	I	2945
149	KA06MH0151	Suvarnavathy Dam	Karnataka Water Resources Department	11.82777778	77.01666667	1984	Cauvery	Suvarnavathy	chamaraja nagar	II	Other	25.9	1170.4	97620	356790000	1212200	35650000	I	830.00
89	KA06MH0091	Chandrampalli Dam	Karnataka Water Resources Department	17.53416667	77.46138889	1973	Krishna	Sarnala	Chincholi	II	Earthfill_Embankment	28.65	926.54	454000	34210000	3570000	31410000	I	869.32
190	KA06HH0193	Manchanabele	Karnataka Water Resources Department	12.875	77.33611111	1993	Cauvery	Arkavathy	magadi	II	Other	38.71	362.2	662510	34580000	3650000	30044000	I	2264
35	KA06MH0037	Neerasagara Dam	Karnataka Water Resources Department	15.31166667	74.98694444	1955	West Flowing Rivers from Tapi to Tadri	Bedtinala	Kalghatgi	II	Earthfill_Embankment	24.6	1158.25	761000	28924000	4387000	26170000	S	1048
194	KA06MH0197	Chulkinala Dam	Karnataka Water Resources Department	17.94166667	77.01472222	1997	Godavari	CHULKINALA	Basava Kalyan	II	Earthfill_Embankment	18	2340	557280	26561000	7380000	25010000	I	1170
126	KA06HH0128	Gundal Dam	Karnataka Water Resources Department	12.09222222	77.19805556	1980	Cauvery	Gundal	Kollegala	II	Earthfill_Embankment	31.55	1219	171860	27438800	697000	23220000	I	467
29	KA06MH0031	Kanva Dam	Karnataka Water Resources Department	12.72361111	77.19333333	1946	Cauvery	Kanva	Channapatna	II	Earthfill_Embankment	22.57	1422	212290	23880000	4370000	22710000	I	395
51	KA06MH0053	Dharma Reservoir	Karnataka Water Resources Department	14.72333333	75.00333333	1964	Krishna	Dharma Nala	Mundagod	II	Earthfill_Embankment	23.25	1448.20	1789930	23040000	4971000	22240000	I	707.81
28	KA06MH0030	Byramangala Tank	Karnataka Water Resources Department	12.76	77.4175	1943	Cauvery	Vrishabhavathy	Ramanagara	II	Composite_Masonry_and_Earth_fill	22.85	2286	1711.84	24100000	4122000	22010000	I	229.36
20	KA06HH0022	Tippagondana Hally	Karnataka Water Resources Department	12.96611111	77.33416667	1934	Cauvery	Kumadavati	Bangalore	II	Other	49.68	451.104	120164	94719000	6837570	19713000	S	1168.04
151	KA06MH0153	Upper Mullamari Dam	Karnataka Water Resources Department	17.71194444	77.00611111	1984	Krishna	Mullamari	Basava Kalyan	II	Earthfill_Embankment	28.4	810	489150	21220000	6340000	18880000	I	1054
48	KA06MH0050	Gayathri Reservoir	Karnataka Water Resources Department	13.79694444	76.71861111	1963	Krishna	Suvarnamuki	Hiriyur	II	Earthfill_Embankment	17.07	1021.53	9500000	27630000	18310000	18080000	I	442
157	KA06MH0159	Upper Kaneri	Karnataka Water Resources Department	15.11055556	74.3575	1985	West Flowing Rivers from Tapi to Tadri	kaneri nadi	Sambalpur	II	Other	27	146.35	24700	163300000	2490000	16150000	H	1954
47	KA06MH0049	Rakkaskop Dam	Karnataka Water Resources Department	15.8125	74.37083333	1962	Krishna	Markandeya	Belgaum	III	Other	26.34	358.37	431380	16620000	3500000	16116000	S	311.53
2	KA06LH0002	Madaga Tank (old)	Karnataka Water Resources Department	14.3475	75.4125	1908	Krishna	Kumadavati River	Hirekerur	II	Earthfill_Embankment	32.87	950	2146000	17500000	720000	16000000	I	37.37
8	KA06LH0010	Kadaba Tank	Karnataka Water Resources Department	13.24222222	76.87861111	1906	Cauvery	Shimsha Valley	Gubbi	II	Earthfill_Embankment	10.5	1680	357200	16530000	6790000	15700000	I	146.50
230	KA06HH0235	Uduthorehalla Dam	Karnataka Water Resources Department	12	77.32916667	2009	Cauvery	Uduthorehalla	Kollegal	II	Earthfill_Embankment	46	1530	112480	18969000	1250000	15147000	I	850
218	KA06MH0223	Mallaghatta Tank	Karnataka Water Resources Department	13.17583333	76.62333333		Cauvery	Shimsha Valley	Turuvekere	II	Earthfill_Embankment	15.6	750.000	239290	16620000	6300000	14860000	I/S/F	344.89
12	KA06LH0014	Ranikere Tank	Karnataka Water Resources Department	14.32388889	76.73138889	1907	Krishna	Garnihalla	Challakere	II	Earthfill_Embankment	12.19	960	106000	15260000	5827600	14260000	I	274.60
9	KA06LH0011	Kunigal Dodakere Tank	Karnataka Water Resources Department	13.03194444	77.02694444	1906	Cauvery	Nagini	Kunigal	II	Earthfill_Embankment	11	2000	5170000	15070000	416000	13700000	I	224.60
55	KA06HH0057	Talakalale Dam	Karnataka Water Resources Department	14.19444444	74.78166667	1964	West Flowing Rivers from Tadri to Kanyakumari	Sharavathy	sagar	III	Other	62.48	353.6	320000	129480000	7680000	13610000	H	232
72	KA06LH0074	Mangala Tank	Karnataka Water Resources Department	12.94388889	76.89611111	1969	Cauvery	Nagini River	Kunigal	II	Earthfill_Embankment	13.1	610	108000	15007914.551164	4089000.0000001	13592073.555771	I	736.30
106	KA06MH0108	Mangala Tank	Karnataka Water Resources Department	11.64777778	76.64722222	1977	Cauvery	Cauvery	Gundlupet	II	Earthfill_Embankment	25	661.4	52000000	15007914.551164	4089000.0000001	13592073.555771	I	8025
229	KA06MH0234	Ranganayanadurga Tank	Karnataka Water Resources Department	14.75694444	76.66138889		Krishna	Jinagihalla	Molakalmuru	II	Earthfill_Embankment	19.88	900	341780	14158000	3220000	13130000	I	1586
1	KA06MH0001	Thonnur Tank	Karnataka Water Resources Department	12.56083333	76.64055556	1000	Cauvery	Hebballa Valley	Pandava pura	II	Earthfill_Embankment	24.38	118.8	15850000	13660000	4191750	12420000	I	400
226	KA06MH0231	Harinala Dam	Karnataka Water Resources Department	15.80638889	74.71666667	2004	Krishna	Harinala	sampgaon	II	Earthfill_Embankment	19.41	3120	640000	13790304	3900000	12062977	I	707.91
49	KA06MH0051	Ambligola Tank	Karnataka Water Resources Department	14.18611111	75.26055556	1964	Krishna	Vrushbhavathi	sagar	II	Earthfill_Embankment	20.77	881	12300000	12390000	4450000	11700000	I	262.68
206	KA06MH0209	Maskinala	Karnataka Water Resources Department	16.01388889	76.55444444	2003	Krishna	Maskinala	lingsugur	II	Composite_Concrete_and_Earth_fill	29.88	814	586640	13110000	1728000	10697000	I	2590
37	KA06MH0039	Chickkahole	Karnataka Water Resources Department	11.83414167	76.98859444	1958	Cauvery	Chikkahole	Chamarajnagar	II	Earthfill_Embankment	27.53	756	53080	10648000	1620000	10534000	I	765
108	KA06MH0110	Madaga Tank(New)	Karnataka Water Resources Department	13.31055556	77.32083333	1978	Krishna	Veda series	hungund	II	Earthfill_Embankment	24.4	360	56000	10500000	1315000	10500000	I	58
93	KA06MH0095	Bachanki Tank	Karnataka Water Resources Department	15.01444444	75.065	1974	West Flowing Rivers from Tapi to Tadri	Local	Mundagod	II	Earthfill_Embankment	23.31	777.24	583000	11140000	2030000	10380000	I	325
69	KA06MH0071	Sangenahalli Tank	Karnataka Water Resources Department	14.42194444	76.38361111	1968	Krishna	Jinigehalla	Jagalur	II	Earthfill_Embankment	15.55	1341	331210	11030000	3360000	10300000	I	269
7	KA06MH0008	Deepambudikere Tank	Karnataka Water Resources Department	12.85638889	77.06888889	1906	Cauvery	Nagini	Kunigal	II	Earthfill_Embankment	15	600	252450	12106000	2070000	9687000	I	37.64
17	KA06LH0019	Sowlanga Tank	Karnataka Water Resources Department	14.095	75.52638889	1928	Krishna	Hirehalla	Honnali	II	Earthfill_Embankment	12	900	131400	9440000	1762000	8990000	I	478
170	KA06HH0173	Hulical Forebay	Karnataka Water Resources Department	13.71111111	75.015	1988	West Flowing Rivers from Tadri to Kanyakumari	Hulicalnala	horanagara	III	Earthfill_Embankment	42	412	745000	150000000	9060000	8700000	H	
214	KA06LH0217	Sheelavantanakoppa D.kere	Karnataka Water Resources Department	14.32194444	75.33555556		Krishna	jamboor halla	shikarpur	II	Earthfill_Embankment	13.28	200		8620000	1380000	8440000	I	
94	KA06MH0096	Chigalli Tank	Karnataka Water Resources Department	14.90111111	75.06777778	1974	West Flowing Rivers from Tapi to Tadri	bedthi	mundgod	II	Earthfill_Embankment	20.74	830.8	374000	8850000	1652700	8210000	I	193.85
57	KA06MH0059	Hebbahalla Dam	Karnataka Water Resources Department	12.10666667	76.33	1965	Cauvery	hebballa	H.D.Kote	II	Earthfill_Embankment	19.2	996.65	982730	11978000	3160000	8190000	I	311.50
91	KA06MH0093	Hattikuni Dam	Karnataka Water Resources Department	16.87771111	77.17035833	1973	Krishna	Hattikuni	Yadgir	II	Earthfill_Embankment	22.88	923	399600	9970000	1220000	7930000	I	376.83
38	KA06MH0040	Ramanahalli tank	Karnataka Water Resources Department	16.9975	76.13722222	1958	Krishna	navalli nalla	Sindagi	II	Earthfill_Embankment	16.5	1619	830370	14469000	4620000	7787000	I	2377
164	KA06MH0167	Soudagar Dam	Karnataka Water Resources Department	16.88444444	77.14361111	1987	Krishna	Soudagar Nala	Yadgir	II	Earthfill_Embankment	27.03	600	840578.94	8120000	965000	7410000	I	217.31
75	KA06MH0077	Gandabommanahalli Tank	Karnataka Water Resources Department	14.77277778	76.58833333	1970	Krishna	Krishna T.Bhadra	Kudligi	II	Earthfill_Embankment	23.15	1397.5	427736	7315000	1780000	7315000	I	418.52
36	KA06MH0038	Areshankar	Karnataka Water Resources Department	16.41111111	76.01861111	1957	Krishna	Areshankar	Basavana Bagevadi	II	Other	19.2	1189	129320	8586450	2250000	7218700	I	1036.39
120	KA06MH0122	Prakruthi Tank	Karnataka Water Resources Department	14.91833333	76.72388889	1979	Krishna	Gundirehalla	Molakalmuru	II	Earthfill_Embankment	16.17	840	453800	8690000	1602600	7180000	I	379.55
5	KA06LH0005	Maidal Amanikere Tank	Karnataka Water Resources Department	13.30972222	77.18777778	1895	Cauvery	Agasarahalli nala	Tumkur	II	Earthfill_Embankment	13.8	810	147650	7400000	2137510	6970000	I	208.80
67	KA06HH0069	Jambadahalla Dam	Karnataka Water Resources Department	13.68111111	75.75583333	1968	Krishna	Jambadahalla	Tarikere	II	Earthfill_Embankment	31.7	838.1	800000	9684352.4084871	1640000	6909304.0575171	I	467.2
41	KA06MH0043	Kalasakoppa Tank	Karnataka Water Resources Department	16.14138889	75.50666667	1960	Krishna	Kalasakoppa	Bagalkot	II	Other	15.8	585	96870	6820300	2700000	6481200	I	237.86
160	KA06MH0163	Theetha Dam	Karnataka Water Resources Department	13.46833333	77.29166667	1986	Pennar	Jayamangali	Koratagere	II	Other	22.00	1017	20000.00	6853000	1530000	6287000	I	590
4	KA06MH0004	Boranakanive Tank	Karnataka Water Resources Department	13.60138889	76.635	1892	Krishna	Suvarnamuki SS VI	C.N.Halli	II	Other	24	39.6	2440000	6425000	13466000	6181000	I	941.58
27	KA06MH0029	Nelligudda Tank	Karnataka Water Resources Department	12.81083333	77.37833333	1940	Cauvery	Bidadi Halla	Ramanagara	II	Composite_Concrete_and_Masonry	17.07	740	362600	6570000		6130000	I	117.4
217	KA06LH0222	Lakshmisagar Tank	Karnataka Water Resources Department	13.77083333	76.81444444		Krishna	Suvarnamuki	Sira	II	Earthfill_Embankment	10.5	960	600000	6700000	2060000	6090000	I	400.71
220	KA06LH0225	Ramalingapura Tank	Karnataka Water Resources Department	13.62138889	76.77416667		Krishna	Suvarnamuki	Sira	II	Earthfill_Embankment	12	830	700000	6740000	2192000	6070000	I	114.19
163	KA06MH0166	Nallur Amanikere Dam	Karnataka Water Resources Department	11.84083333	76.70527778	1987	Cauvery	Gundlu	Gundlupet	II	Earthfill_Embankment	15.04	1802	11500	6541000	1950000	5890000	I	1005
80	KA06LH0082	Muthurayanakere	Karnataka Water Resources Department	12.81888889	77.00611111	1970	Cauvery	Local Nala	Kunigal	II	Earthfill_Embankment	12.06	1140	129000	6795000		5872000	I	144.35
167	KA06HH0170	Beeranahalli Tank	Karnataka Water Resources Department	17.56972222	77.36194444	1988	Krishna	Kal	Chincholi	II	Earthfill_Embankment	30.02	485	684000	6931000	650000	5798000	I	444
97	KA06MH0099	Majjur Tank	Karnataka Water Resources Department	15.18194444	75.63833333	1974	Krishna	Dodda Halla Nala T.B.Sub Basin	Gadag	II	Earthfill_Embankment	19.51	413.5	684150	6375600	1024000	5796000	I	276
85	KA06MH0087	H.B.Halli Pickup	Karnataka Water Resources Department	14.99777778	76.18944444	1972	Krishna	Hagari	Hagaribommanahalli	II	Composite_Masonry_and_Earth_fill	15.24	1759	126050	6370000	13520000	5620000	I	2701
101	KA06MH0103	Kanakanala Dam	Karnataka Water Resources Department	15.84611111	76.45388889	1975	Krishna	kanakanala	sindhnur	II	Earthfill_Embankment	20.12	975.65	208110	6370000	1930000	5620000	I	499
11	KA06LH0013	Nittur Tank	Karnataka Water Resources Department	13.33194444	76.86833333	1906	Cauvery	Shimsha Valley	Gubbi	II	Earthfill_Embankment	10.5	1350	286000	5410000	2520000	5410000	I	65.35
